FB-0001	0	textbook13-r0004-c002	1
FB-0004	0	textbook13-r0049-c004	1
FB-0009	0	textbook13-r0117-c000	1
FB-0011	0	textbook13-r0119-c000	1
FB-0019	0	textbook13-r0030-c000	1
FB-0020	0	textbook13-r0028-c000	1
FB-0023	0	textbook13-r0068-c001	1
FB-0025	0	textbook13-r0071-c001	1
FB-0026	0	textbook13-r0069-c006	1
FB-0037	0	textbook13-r0122-c000	1
FB-0039	0	textbook17-r0179-c000	1
FB-0041	0	textbook17-r0165-c001	1
FB-0045	0	textbook16-r0002-c003	1
FB-0046	0	textbook15-r0227-c001	1
FB-0055	0	textbook1-r0140-c000	1
FB-0059	0	textbook14-r0093-c001	1
FB-0061	0	textbook7-r0077-c000	1
FB-0067	0	textbook7-r0006-c000	1
FB-0080	0	textbook11-r0056-c005	1
FB-0081	0	textbook11-r0017-c001	1
FB-0083	0	textbook11-r0020-c003	1
FB-0094	0	textbook19-r0068-c000	1
FB-0097	0	textbook19-r0068-c000	1
FB-0099	0	textbook19-r0320-c000	1
FB-0100	0	textbook14-r0080-c002	1
FB-0102	0	textbook19-r0322-c000	1
MC-0004	0	textbook13-r0004-c001	1
MC-0006	0	textbook13-r0031-c000	1
MC-0019	0	textbook15-r0031-c001	1
MC-0020	0	textbook13-r0030-c000	1
MC-0025	0	textbook2-r0012-c005	1
MC-0034	0	textbook13-r0026-c001	1
MC-0046	0	textbook13-r0072-c000	1
MC-0057	0	textbook13-r0103-c000	1
MC-0076	0	textbook6-r0034-c000	1
MC-0077	0	textbook6-r0141-c001	1
MC-0111	0	textbook14-r0092-c002	1
MC-0113	0	textbook7-r0006-c000	1
MC-0142	0	textbook17-r0354-c000	1
MC-0146	0	textbook16-r0001-c018	1
MC-0149	0	textbook11-r0064-c000	1
MC-0154	0	textbook11-r0063-c000	1
MC-0159	0	textbook11-r0091-c003	1
MC-0186	0	textbook19-r0170-c000	1
MC-0196	0	textbook10-r0000-c001	1
MC-0196	0	textbook10-r0250-c000	1
MC-0201	0	textbook9-r0069-c003	1
MC-0207	0	textbook2-r0054-c001	1
MC-0210	0	textbook2-r0042-c003	1
MS-0001	0	textbook6-r0059-c000	1
MS-0003	0	textbook6-r0070-c000	1
MS-0004	0	textbook6-r0034-c001	1
MS-0005	0	textbook6-r0034-c003	1
MS-0012	0	textbook19-r0071-c000	1
MS-0019	0	textbook7-r0071-c004	1
MS-0056	0	textbook16-r0003-c021	1
MS-0056	0	textbook16-r0003-c027	1
MS-0062	0	textbook11-r0097-c000	1
MS-0062	0	textbook11-r0097-c001	1
MS-0095	0	textbook10-r0089-c002	1
MS-0095	0	textbook10-r0097-c002	1
MS-0101	0	textbook2-r0054-c001	1
MS-0101	0	textbook2-r0054-c002	1
MS-0103	0	textbook2-r0042-c006	1
MS-0103	0	textbook2-r0042-c007	1
MS-0104	0	textbook2-r0043-c005	1
MS-0104	0	textbook2-r0044-c000	1
MS-0107	0	textbook2-r0072-c001	1
MS-0107	0	textbook2-r0072-c002	1
OE-0004	0	textbook13-r0006-c001	1
OE-0028	0	textbook11-r0018-c003	1
OE-0043	0	textbook7-r0011-c006	1
OE-0057	0	textbook7-r0051-c011	1
OE-0057	0	textbook7-r0051-c012	1
OE-0067	0	textbook7-r0041-c002	1
OE-0071	0	textbook7-r0065-c000	1
OE-0071	0	textbook7-r0065-c001	1
OE-0081	0	textbook6-r0007-c002	1
OE-0103	0	textbook10-r0251-c000	1
OE-0103	0	textbook17-r0276-c001	1
OE-0119	0	textbook15-r0182-c003	1
OE-0119	0	textbook15-r0182-c004	1
OE-0147	0	textbook7-r0070-c011	1
OE-0150	0	textbook14-r0264-c004	1
OE-0150	0	textbook14-r0265-c000	1
OE-0182	0	textbook19-r0319-c001	1
OE-0199	0	textbook11-r0085-c007	1
OE-0199	0	textbook11-r0077-c000	1
OE-0212	0	textbook11-r0021-c000	1
OE-0233	0	textbook12-r0451-c000	1
OE-0233	0	textbook12-r0452-c000	1
OE-0236	0	textbook19-r0013-c001	1
OE-0236	0	textbook12-r0319-c002	1
OE-0251	0	textbook10-r0194-c000	1
OE-0251	0	textbook2-r0158-c002	1
OE-0267	0	textbook2-r0062-c006	1
OE-0267	0	textbook2-r0063-c003	1
TF-0014	0	textbook13-r0025-c004	1
TF-0015	0	textbook13-r0039-c000	1
TF-0030	0	textbook7-r0012-c006	1
TF-0053	0	textbook7-r0032-c007	1
TF-0060	0	textbook7-r0040-c001	1
TF-0093	0	textbook7-r0032-c005	1
TF-0103	0	textbook7-r0067-c001	1
TF-0117	0	textbook4-r0240-c002	1
TF-0120	0	textbook6-r0180-c000	1
TF-0125	0	textbook11-r0004-c000	1
TF-0151	0	textbook15-r0063-c007	1
TF-0181	0	textbook2-r0118-c002	1
TF-0188	0	textbook11-r0064-c002	1
TF-0188	0	textbook11-r0064-c000	1
TF-0219	0	textbook11-r0021-c007	1
TF-0223	0	textbook11-r0089-c001	1
TF-0230	0	textbook11-r0103-c006	1
TF-0237	0	textbook19-r0319-c000	1
TF-0237	0	textbook19-r0072-c001	1
TF-0251	0	textbook20-r0026-c000	1
TF-0257	0	textbook16-r0004-c022	1
TF-0276	0	textbook2-r0009-c002	1
TF-0303	0	textbook2-r0053-c005	1
TF-0306	0	textbook2-r0041-c003	1
